
마이크로컨텍솔(098120)에 대한 분석을 시작합니다.
-15 | 시가총액 낮음 (761억)
-1 | PER 높음: 14.3 > 동종업계 평균 13.0
-3 | [1년 전]영업이익 6.3% 감소: 79 -> 74
+10 | [1년 전]당좌비율 높음 (546.7%)
-20 | 올해 예상 영업이익이 아직 나오지 않았습니다.
-10 | [4분기 전]당기순손실 (-2억)

포스코엠텍(009520)에 대한 분석을 시작합니다.
-30 | PER 높음: 338.6 > 동종업계 평균 14.5
-3 | PBR 높음 (5.3배)
-20 | [2년 전]영업이익 61.0% 감소: 164 -> 64
-14 | [1년 전]영업이익 29.7% 감소: 64 -> 45
+10 | [1년 전]당좌비율 높음 (223.4%)
-5 | [1년 전]유보율 낮음 (456.2%)
-20 | 올해 예상 영업이익이 아직 나오지 않았습니다.
-10 | [1분기 전]당기순손실 (-23억)

AK홀딩스(006840)에 대한 분석을 시작합니다.
+1 | PER 낮음: 9.9
+10 | PBR 낮음 (0.2배)
+10 | 시가배당률 높음: 3.97
-10 | [3년 전]당기순손실 (-1993억)
-20 | [2년 전]당기순손실 (-1249억)
+10 | [1년 전]흑자 전환
-10 | [1년 전]부채율 높음 (310.7%)
-10 | [1년 전]당좌비율 낮음 (36.7%)
-20 | 올해 예상 영업이익이 아직 나오지 않았습니다.
-10 | [2분기 전]당기순손실 (-142억)

AJ네트웍스(095570)에 대한 분석을 시작합니다.
+14 | PER 낮음: 6.0 < 동종업계 평균 14.6
-1 | PER 악화: 6.0 -> 6.3
+6 | PBR 낮음 (0.4배)
+20 | 시가배당률 높음: 6.7
+20 | [2년 전]영업이익 58.8% 증가 (481 -> 764)
+10 | [1년 전]영업이익 2.6% 증가 (764 -> 784)
-10 | [1년 전]부채율 높음 (286.6%)
-10 | [1년 전]당좌비율 낮음 (42.1%)
+10 | [올해 예상]영업이익 7.4% 증가 (784 -> 842)
+17 | 최근 PER(6.3)이 3년 평균(11.84)보다 낮음

BGF리테일(282330)에 대한 분석을 시작합니다.
+10 | 시가총액 높음: 1조 8442억
+1 | PER 낮음: 9.7
+1 | PER 개선: 9.7 -> 8.7
+10 | 시가배당률 높음: 3.84
